Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
										4.900E+2	1.860E-5		
										4.903E+2	1.273E-5		
										4.907E+2	3.133E-5		
										4.910E+2	1.566E-5		
										4.914E+2	1.322E-5		
										4.917E+2	3.084E-5		
										4.921E+2	1.762E-5		
										4.924E+2	2.839E-5		
										4.928E+2	6.363E-6		
										4.931E+2	2.398E-5		
										4.935E+2	3.425E-6		
										4.938E+2	2.447E-6		
										4.942E+2	3.182E-5		
										4.945E+2	2.398E-5		
										4.949E+2	3.133E-5		
										4.952E+2	2.643E-5		
										4.956E+2	5.041E-5		
										4.960E+2	2.301E-5		
										4.963E+2	1.272E-5		
										4.967E+2	2.203E-5		
										4.970E+2	1.860E-5		
										4.974E+2	1.909E-5		
										4.977E+2	1.077E-5		
										4.981E+2	2.888E-5		
										4.984E+2	3.524E-5		
										4.988E+2	1.322E-5		
										4.991E+2	1.224E-5		
										4.995E+2	1.957E-6		
										4.998E+2	1.272E-5		
										5.002E+2	2.741E-5		
										5.005E+2	2.154E-5		
										5.009E+2	3.524E-5		
										5.012E+2	3.475E-5		
										5.016E+2	4.944E-5		
										5.019E+2	1.664E-5		
										5.023E+2	5.433E-5		
										5.026E+2	2.105E-5		
										5.030E+2	1.909E-5		
										5.034E+2	1.468E-5		
										5.037E+2	3.279E-5		
										5.040E+2	3.720E-5		
										5.044E+2	4.258E-5		
										5.048E+2	1.958E-5		
										5.051E+2	4.258E-5		
										5.055E+2	2.496E-5		
										5.058E+2	4.209E-5		
										5.062E+2	1.957E-6		
										5.065E+2	9.789E-6		
										5.069E+2	4.748E-5		
										5.072E+2	4.063E-5		
										5.076E+2	2.398E-5		
										5.079E+2	2.888E-5		
										5.083E+2	4.503E-5		
										5.086E+2	3.426E-5		
										5.090E+2	3.965E-5		
										5.093E+2	2.986E-5		
										5.097E+2	4.014E-5		
										5.100E+2	4.406E-6		
										5.104E+2	2.839E-5		
										5.107E+2	3.377E-5		
										5.111E+2	4.552E-5		
										5.114E+2	4.699E-5		
										5.118E+2	3.573E-5		
										5.121E+2	3.867E-5		
										5.125E+2	3.622E-5		
										5.128E+2	4.063E-5		
										5.132E+2	4.650E-5		
										5.135E+2	2.741E-5		
										5.139E+2	3.279E-5		
										5.142E+2	2.643E-5		
										5.146E+2	2.007E-5		
										5.149E+2	3.720E-5		
										5.153E+2	5.384E-5		
