Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
										4.323E+2	2.023E-6		
										4.326E+2	6.071E-6		
										4.330E+2	2.360E-5		
										4.333E+2	1.348E-6		
										4.337E+2	1.888E-5		
										4.341E+2	3.371E-6		
										4.344E+2	1.484E-5		
										4.348E+2	3.371E-6		
										4.351E+2	1.146E-5		
										4.355E+2	2.023E-6		
										4.359E+2	1.956E-5		
										4.362E+2	6.071E-6		
										4.366E+2	4.720E-6		
										4.369E+2	2.630E-5		
										4.373E+2	1.618E-5		
										4.376E+2	7.419E-6		
										4.380E+2	1.551E-5		
										4.384E+2	6.745E-6		
										4.387E+2	2.495E-5		
										4.391E+2	7.419E-6		
										4.394E+2	1.754E-5		
										4.398E+2	1.484E-5		
										4.402E+2	1.754E-5		
										4.405E+2	1.349E-5		
										4.409E+2	3.372E-5		
										4.412E+2	2.091E-5		
										4.416E+2	1.349E-5		
										4.420E+2	4.720E-6		
										4.423E+2	1.146E-5		
										4.427E+2	2.698E-5		
										4.430E+2	3.371E-6		
										4.434E+2	6.745E-6		
										4.437E+2	6.745E-6		
										4.441E+2	5.394E-6		
										4.445E+2	1.686E-5		
										4.448E+2	1.146E-5		
										4.452E+2	3.709E-5		
										4.455E+2	1.079E-5		
										4.459E+2	1.753E-5		
										4.462E+2	6.742E-7		
										4.466E+2	1.214E-5		
										4.470E+2	5.394E-6		
										4.473E+2	1.079E-5		
										4.477E+2	2.023E-6		
										4.480E+2	1.146E-5		
										4.484E+2	6.742E-7		
										4.488E+2	7.419E-6		
										4.491E+2	2.293E-5		
										4.495E+2	1.281E-5		
										4.498E+2	3.574E-5		
										4.502E+2	9.442E-6		
										4.505E+2	6.742E-7		
										4.509E+2	1.348E-6		
										4.512E+2	3.102E-5		
										4.516E+2	1.146E-5		
										4.520E+2	5.394E-6		
